640,681

Time	B2	B3	B4	B5	C2	C3	C4	C5	D2	D3	D4	D5	E2	E3	E4	E5	F2	F3	F4	F5
11955	874	3016	1706	7	15481	28321	14532	37845	1703	30408	1731	33818	1860	14609	1898	7839	6	5	1621	6888
12015	892	3056	1713	6	15489	28141	14636	37749	1708	30561	1684	33957	1851	14903	1884	7931	7	8	1579	6826
12075	875	3060	1687	4	15586	28277	14819	38193	1743	31002	1693	33998	1868	15075	1887	8006	4	7	1608	6882
12135	861	3093	1644	9	15548	28580	14775	38355	1749	31793	1697	34335	1876	15448	1965	8012	6	7	1620	6867
12195	895	3072	1716	6	15564	28555	14846	38300	1724	31881	1721	34566	1878	15548	1960	8092	4	6	1597	6974
12255	881	3058	1706	9	15735	28829	15000	38455	1760	32906	1768	34772	1987	15854	1952	8213	9	8	1638	6982
12315	849	3118	1751	8	15775	28910	15011	38456	1727	33299	1687	34603	1932	16105	1936	8291	7	4	1644	7121
12375	897	3065	1710	5	15954	28929	15130	38564	1795	33655	1740	34797	1969	16312	1975	8336	6	3	1685	6973
12435	882	3116	1735	9	15931	29118	15348	38806	1735	34040	1715	35258	1942	16582	1978	8374	6	8	1657	7098
12495	894	3124	1775	9	15868	29037	15524	39100	1743	34597	1774	35454	1970	16817	1934	8405	3	3	1660	7103
12555	913	3134	1786	9	15889	29343	15628	39042	1761	35037	1735	35288	1969	17017	1980	8426	6	10	1670	7155
12615	877	3135	1787	5	15905	29510	15587	39435	1778	35743	1802	35737	1995	17365	1982	8557	3	5	1658	7171
12675	896	3118	1793	8	15985	29780	15771	39563	1776	35981	1780	36015	2025	17556	2045	8673	2	5	1665	7221
12735	902	3117	1794	5	15820	29609	15908	39344	1779	36625	1798	36006	1984	17692	1964	8684	3	1	1674	7171
12795	871	3160	1777	6	16017	29630	16005	39707	1804	36906	1769	36304	1990	18113	2062	8601	8	8	1676	7229
12855	933	3139	1820	6	16117	29963	16102	39660	1820	37149	1830	36468	2064	18439	2043	8757	6	4	1672	7393
12915	895	3148	1815	7	16062	29864	16183	39841	1814	38120	1834	36758	2066	18594	2034	8803	4	9	1734	7216
12975	914	3146	1802	8	16130	30089	16209	40067	1802	38518	1799	36704	2097	18873	2026	8761	7	8	1720	7402
13035	909	3157	1837	8	16247	29998	16437	40111	1897	38737	1786	36994	2091	19052	2043	8795	6	4	1731	7420
13095	909	3122	1845	4	16102	30155	16535	40178	1809	39107	1801	36998	2063	19509	2015	8843	4	6	1749	7360
13155	898	3198	1799	8	16328	30277	16519	40556	1825	39323	1807	37289	2116	19623	2060	9036	5	4	1749	7386
13215	895	3152	1825	8	16268	30581	16589	40261	1847	39936	1844	37220	2125	19848	2076	9186	5	3	1707	7442
13275	904	3185	1855	8	16200	30598	16819	40394	1921	40594	1855	37463	2169	20162	2140	9137	9	5	1753	7573
13335	871	3257	1812	8	16157	30382	16732	40525	1926	40751	1834	37430	2155	20510	2088	9180	3	7	1797	7550
13395	935	3218	1827	2	16444	30745	16873	40686	1897	41287	1906	37822	2174	20811	2127	9163	4	4	1720	7522
13455	912	3196	1881	6	16441	30691	16937	40842	1890	41436	1851	38006	2131	20888	2100	9266	5	6	1760	7565
13515	913	3163	1833	7	16542	30706	17190	40858	1966	41939	1882	37854	2117	21141	2154	9259	6	8	1777	7552
13575	930	3244	1875	3	16240	30804	17112	40966	1922	42519	1851	38394	2200	21392	2127	9345	9	4	1743	7592
13635	912	3255	1913	7	16412	31260	17202	40995	1894	42636	1878	38266	2218	21747	2166	9359	5	6	1772	7685
13695	935	3189	1889	8	16517	31133	17209	41139	1923	42789	1865	38288	2211	22011	2121	9566	6	3	1750	7680
13755	914	3203	1887	2	16357	30950	17363	41492	1922	43307	1858	38476	2219	22445	2153	9549	6	6	1818	7747
13815	923	3235	1929	6	16759	31240	17568	41224	1914	43908	1892	38754	2238	22574	2155	9621	10	5	1829	7712
13875	966	3234	1934	5	16519	31340	17750	41354	1949	44193	1899	38556	2232	22874	2189	9572	6	8	1834	7747
13935	924	3260	1925	7	16562	31449	17758	41164	1968	44269	1890	38881	2308	23042	2177	9681	6	6	1837	7708
13995	937	3274	1932	8	16738	31176	17783	41503	1941	44487	1882	38947	2271	23282	2201	9780	8	7	1810	7876
14055	942	3265	1904	7	16491	31617	17955	41420	1967	45050	1922	39208	2271	23620	2253	9754	8	10	1841	7848
14115	896	3279	1957	8	16771	31542	17769	41632	1966	45051	1900	39277	2309	23697	2212	9745	5	11	1842	7823
14175	948	3285	1947	3	16681	31626	18024	41356	1957	45658	1910	39775	2284	24135	2198	9789	6	4	1838	7965
14235	931	3274	2030	4	16873	31775	18207	41889	1985	45631	1904	39509	2286	24438	2199	9903	7	4	1864	7951
14295	954	3217	2044	3	16639	31742	18231	41644	1961	46024	1946	39921	2338	24498	2208	9857	7	3	1882	7906
14355	911	3257	1981	4	16678	31739	18286	41936	2004	45863	1948	39519	2329	24974	2258	10052	5	6	1847	7854
14415	942	3250	1986	3	16732	31778	18307	41850	2014	46086	1881	39790	2380	25356	2263	10019	5	6	1843	7866
14475	953	3223	2000	2	16770	32015	18317	42108	2023	46614	1882	39907	2320	25483	2199	10059	6	5	1905	8030
14535	984	3293	1971	7	16869	31956	18430	42174	2012	46704	1930	39889	2352	25699	2286	9995	6	6	1837	8010
14595	936	3336	2017	7	16835	32087	18346	42336	2028	46360	1940	40010	2403	26042	2276	10003	2	6	1892	7998
14655	931	3280	2010	5	16777	31884	18405	42354	2032	47051	1977	40177	2417	26375	2223	10088	8	2	1895	7921
14715	956	3298	1979	6	16818	32370	18683	42798	2032	47223	2000	40131	2401	26591	2325	10286	7	7	1860	8107
14775	944	3285	2019	9	17092	32306	18569	42450	2040	47348	1950	40462	2486	26791	2301	10303	6	6	1868	7913
14835	944	3267	2059	8	16987	32353	18731	42518	2087	47387	1994	40525	2488	27000	2300	10181	5	3	1882	8082
14895	964	3302	2073	5	16826	32354	18853	42655	2051	47496	2001	40588	2399	27493	2299	10212	5	5	1879	8081
14955	962	3337	2048	7	16954	32219	18937	42450	2011	47326	2005	40874	2463	27562	2283	10354	5	6	1963	8173
15015	945	3283	2085	4	17004	32388	18959	42548	2100	47486	2005	40651	2471	27932	2338	10467	7	5	1872	8215
15075	961	3242	2054	6	17040	32268	19022	42442	2087	47663	1991	40964	2450	28077	2366	10493	6	5	1942	8112
15135	970	3311	2078	5	16868	32442	19299	42746	2063	47577	1984	40492	2446	28481	2353	10472	4	4	1945	8186
15195	964	3350	2119	4	17087	32414	19266	43108	2141	47894	1997	41118	2489	28932	2377	10419	6	2	1889	8202
15255	989	3312	2122	7	16815	32694	19295	43027	2146	48104	1997	41018	2452	28894	2388	10570	8	6	1933	8199
15315	999	3345	2057	6	17052	32863	19236	42928	2117	47971	1986	41002	2501	29565	2366	10520	5	4	1963	8222
15375	983	3336	2114	8	17190	32543	19267	43186	2123	47983	2000	41220	2512	29593	2366	10726	10	5	1916	8333
15435	999	3334	2125	6	17129	32777	19535	43335	2076	47804	2008	41322	2486	29811	2383	10794	5	9	2000	8304
15495	986	3359	2131	6	17125	32817	19533	43063	2148	48021	2006	41358	2518	30164	2377	10719	7	5	1956	8260
15555	975	3390	2134	1	17161	32882	19666	43055	2131	48165	2041	41569	2541	30333	2365	10764	7	5	1950	8335
15615	980	3313	2106	3	17216	33130	19740	42873	2111	48404	2042	41421	2550	30785	2482	10821	4	6	2012	8317
15675	980	3376	2130	11	17162	32935	19615	43188	2163	48205	2061	41536	2518	30689	2436	10863	8	5	1938	8310
15735	993	3302	2129	8	17329	33075	19611	43159	2159	48007	2061	41584	2561	31244	2437	10856	8	4	1951	8367
15795	987	3363	2097	6	17317	32946	19862	42873	2137	48363	2023	41532	2588	31595	2430	10821	4	7	2033	8450
15855	986	3333	2139	5	17316	33129	19937	43242	2177	48294	2025	41740	2602	31817	2397	11046	4	5	1998	8442
15915	965	3419	2136	9	17066	33195	19974	43190	2111	48474	2101	41694	2623	32079	2416	10972	10	5	1977	8315
15975	980	3334	2100	4	17292	33304	20022	43353	2169	48281	2059	41833	2639	32333	2471	11007	5	10	2010	8257
